"","Original.address","Latitutde","Longitude"
"483","1415 E. 57th St. ",41.7914015,-87.5906761
"484","1418 E. 53rd St.",41.7999386,-87.5911268
"485","1420 E. Midway Plaisance",41.7864747,-87.5989062
"486","1421 E. 48th St.",41.8078726,-87.5913996
"487","1427 E. 60th Street ",41.7857443,-87.5902956
"488","1429 E. 60th St.",41.7854107,-87.5901488
"489","1438 E. 53rd St. ",41.799173,-87.594475
"490","1438 E. 57th St. ",41.7917016,-87.5900948
"491","1442 E. 59th St.",41.7881017,-87.5898196
"492","1444 E. 57th St.",41.7916743,-87.5898196
"493","1447 E. 53rd St.",41.7992293,-87.5899547
"494","1449 E. 53rd St.",41.7993095,-87.5898897
"495","1449 E. 57th St.",41.79132,-87.589652
"496","1450 E. 59th St.",41.7880876,-87.5896075
"497","1450 E. 59th St. ",41.7880876,-87.5896075
"498","1452 E. 53rd St.",41.7997257,-87.5896855
"499","1453 E. 53rd St. ",41.799292,-87.5897063
"500","1453 E. 55th St.",41.7954937,-87.5895459
"501","1462 E. 53rd St.",41.7997869,-87.5893984
"502","1463 E. 53rd St. ",41.799324,-87.5893684
"503","1466 E. 56th St. ",41.7935469,-87.589481
"504","1500 E. 53rd St.",41.7998079,-87.5888552
"505","1500 E. 53rd St. ",41.7998079,-87.5888552
"506","1500 E. 55th St. ",41.7954967,-87.5887777
"507","1500 E. 59th St. ",41.7878722,-87.5890975
"508","1501 E. 55th St.",41.7950084,-87.5892172
"509","1501 E. 57th St. ",41.7913443,-87.5888934
"510","1502 E. 55th St.",41.7954417,-87.5886529
"511","1502 E. 55th St. ",41.7954417,-87.5886529
