"","Original address","Freq","Location.Address"
"789","5428 S. Woodlawn ",1,"5428 South Woodlawn "
"790","5430 S. Lake Shore Dr.",1,"5430 South Lake Shore Drive"
"791","5432 S. Ellis",1,"5432 South Ellis"
"792","5433 S. University",1,"5433 South University"
"793","5433 S. University ",1,"5433 South University "
"794","5435 S. Shore Dr. ",1,"5435 South Shore Drive "
"795","5435 S. Woodlawn ",1,"5435 South Woodlawn "
"796","5442 S. Harper",1,"5442 South Harper"
"797","5444 S. Ellis",1,"5444 South Ellis"
"798","5445 S. Dorchester",1,"5445 South Dorchester"
"799","5445 S. Drexel ",1,"5445 South Drivexel "
"800","5445 S. Harper ",1,"5445 South Harper "
"801","5446 S. Greenwood ",1,"5446 South Greenwood "
"802","5447 S. Ellis ",1,"5447 South Ellis "
"803","5452 S. Ellis ",1,"5452 South Ellis "
"804","5457 S. Ingleside ",1,"5457 South Ingleside "
"805","5457 S. Kenwood ",1,"5457 South Kenwood "
"806","5459 S. Ingleside ",1,"5459 South Ingleside "
"807","5460 S. Ellis ",1,"5460 South Ellis "
"808","5461 S. Cornell ",1,"5461 South Cornell "
"809","5471 S. Dorchester",1,"5471 South Dorchester"
"810","5473 S. Dorchester",1,"5473 South Dorchester"
"811","5473 S. Kimbark ",1,"5473 South Kimbark "
"812","5474 S. Hyde Park",1,"5474 South Hyde Park"
"813","5480 S. Cornell",1,"5480 South Cornell"
"814","5480 S. Cornell ",1,"5480 South Cornell "
"815","5480 S. Kenwood ",1,"5480 South Kenwood "
"816","5481 S. Cornell ",1,"5481 South Cornell "
"817","5482 S. Greenwood",1,"5482 South Greenwood"
"818","5485 S. Cornell",1,"5485 South Cornell"
"819","5487 S. Ellis ",1,"5487 South Ellis "
"820","5487 S. Hyde Park",1,"5487 South Hyde Park"
"821","5487 S. Hyde Park ",1,"5487 South Hyde Park "
"822","5493 S. Cornell",1,"5493 South Cornell"
"823","54th & Hyde Park ",1,"54th and Hyde Park "
"824","54th & Kenwood ",1,"54th and Kenwood "
"825","54th & Ridgewood",1,"54th and Ridgewood"
"826","54th & Woodlawn",1,"54th and Woodlawn"
"827","54th & Woodlawn and 5530 S. Ellis",1,"54th and Woodlawn and 5530 South Ellis"
"828","54th at Woodlawn",1,"54th at Woodlawn"
"829","54th near Woodlawn",1,"54th and Woodlawn"
"830","54th Pl. and S. Harper",1,"54th Place and South Harper"
"831","54th Pl. at Harper",1,"54th Place at Harper"
"832","54th Pl. near Woodlawn",1,"54th Place and Woodlawn"
"833","54th St. at East View Park",1,"54th Street at East View Park"
"834","5500 S. Dorchester",1,"5500 South Dorchester"
"835","5500 S. Drexel",1,"5500 South Drivexel"
"836","5500 S. Drexel ",1,"5500 South Drivexel "
"837","5500 S. Everett",1,"5500 South Everett"
"838","5500 S. Greenwood",1,"5500 South Greenwood"
"839","5500 S. Harper",1,"5500 South Harper"
"840","5500 S. Hyde Park",1,"5500 South Hyde Park"
"841","5500 S. Hyde Park ",1,"5500 South Hyde Park "
"842","5500 S. Kenwood",1,"5500 South Kenwood"
"843","5500 S. Kimbark",1,"5500 South Kimbark"
"844","5500 S. Kimbark ",1,"5500 South Kimbark "
"845","5500 S. Lake Park ",1,"5500 South Lake Park "
"846","5500 S. Payne Dr.",1,"5500 South Payne Drive"
"847","5500 S. Shore Dr.",1,"5500 South Shore Drive"
"848","5500 S. South Shore Dr.",1,"5500 South South Shore Drive"
"849","5500 S. University",1,"5500 South University"
"850","5500 S. Woodlawn ",1,"5500 South Woodlawn "
"851","5501 S. Ellis ",1,"5501 South Ellis "
"852","5501 S. University ",1,"5501 South University "
"853","5503 S. Everett ",1,"5503 South Everett "
"854","5503 S. Woodlawn ",1,"5503 South Woodlawn "
"855","5509 S. Hyde Park",1,"5509 South Hyde Park"
"856","5510 S. Hyde Park ",1,"5510 South Hyde Park "
"857","5512-14 S. Hyde Park ",1,"5512-14 South Hyde Park "
"858","5514 S. Blackstone",1,"5514 South Blackstone"
"859","5519 S. Everett ",1,"5519 South Everett "
"860","5521 S. Cornell ",1,"5521 South Cornell "
"861","5528 S. Ellis",1,"5528 South Ellis"
"862","5530 S. Cornell ",1,"5530 South Cornell "
"863","5530 S. Cottage Grove",1,"5530 South Cottage Grove"
"864","5531 S. Everett",1,"5531 South Everett"
"865","5533 S. Ellis",1,"5533 South Ellis"
"866","5535 S. Ellis",1,"5535 South Ellis"
"867","5537 S. Lake Park",1,"5537 South Lake Park"
"868","5540 S. Greenwood ",1,"5540 South Greenwood "
"869","5545 S. Greenwood ",1,"5545 South Greenwood "
"870","5545 S. Woodlawn",1,"5545 South Woodlawn"
"871","5548 S. Hyde Park ",1,"5548 South Hyde Park "
"872","5550 S. Dorchester",1,"5550 South Dorchester"
"873","5550 S. Shore Dr.",1,"5550 South Shore Drive"
"874","5551 S. Woodlawn ",1,"5551 South Woodlawn "
"875","5553 S. Blackstone ",1,"5553 South Blackstone "
"876","5553 S. Kenwood",1,"5553 South Kenwood"
"877","5554 S. Ellis ",1,"5554 South Ellis "
