,Incident,Location,Occured,Disposition,Notes,temp_inc
551,drug/narcotic offense,illinois institute of technology : mies campus : fraternity/sorority,12/11/2015 10:45,NA,iitpsd responded to a narcotics offense.,NARCOTICS
552,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus: mccormick student village ,12/12/2015 3:59,NA,iitpsd responded to msv for a non-emergency medical transport to mercy.,MEDICAL INCIDENT
553,injured/sick person : emergency medical transport/ambulance : student,illinois institute of technology : mies campus :mccormick student village ,12/13/2015 2:03,NA,iitpsd responded to msv for an intoxicated student. emergency transport was requested to mercy hospital.,MEDICAL INCIDENT
554,trespassing,illinois institute of technology,12/13/2015 8:23,NA,iitpsd responded to mccormick student village for a disturbance by a member of the general public.,DISTURBANCE
555,alarm,illinois institute of technology : mies campus: mccormick student village ,12/13/2015 6:41,NA,iitpsd responded to msv graduate hall 1st floor kitchen for a smoke alarm.   thank you,ALARM
556,weapon law violation,illinois institute of technology: mies campus: street locations: 33rd street: east: 1-45 state to wabash,12/9/2015 7:00,NA,iitpsd responded to 33rd/state st for a weapon law violation. thank you,WEAPON
557,damage to property,illinois institute of technology : mies campus,12/8/2015 1:00,NA,iitpsd responded to the iit co-generation plant for a report of damage to property   thank you,DAMAGE TO PROPERTY
558,accident : motor vehicle,NA,NA,NA,iitpsd responded to the c6 parking lot for a motor vehicle accident.   thank you,ACCIDENT
559,miscellaneous incident,illinois institute of technology : mies campus: gunsaulus hall ,12/4/2015 1:42,NA,iitpsd responded to a call at gunsaulus for a housing violation.,OTHER
560,injured/sick person : non-emergency medical transport : student,illinois institute of technology : mies campus :: galvin library ,12/5/2015 3:24,NA,iitpsd did a non-emergency transport for a student from galvin library to mercy,MEDICAL INCIDENT
561,accident : motor vehicle,illinois institute of technology : mies campus : street locations ,12/5/2015 11:15,NA,a  vehicle was involved in a minor one vehicle accident   thank you,ACCIDENT
562,injured/sick person,illinois institute of technology: mies campus: academic/administrative buildings: tower – 10w 35th,12/3/2015 1:05,NA,iitpsd responded to the tenth floor of the tower for a sick employee. thank you,MEDICAL INCIDENT
