,Incident,Location,Occured,Disposition,Notes,temp_inc
563,damage to property,illinois institute of technology: kent campus – 565 w adams,12/2/2015 2:30,NA,iit psd received a report of criminal damage to a vehicle near kent college of law.   thank you,DAMAGE TO PROPERTY
564,injured/sick person : report only : student,illinois institute of technology : mies campus engineering 1 ,12/1/2015 12:00,NA,iitpsd responded to e1 for a student who fainted in class.   thank you,MEDICAL INCIDENT
565,utility incident : elevator : malfunction,illinois institute of technology : kent campus ,11/30/2015 5:00,NA,elevator car number three placed out of service at kent college of law.   thank you,UTILITY INCIDENT
566,criminal homicide,illinois institute of technology: mies campus: general parking locations: a2 lot – 3040 s wabash,1/28/2016 4:55,NA,iitpsd responded to the a2 lot for a criminal homicide involving iit students.,HOMICIDE
567,disturbance,illinois institute of technology: mies campus: academic/administrative buildings: 3424 s state,1/28/2016 1:55,NA,iitpsd responded to 3424 for a report of a disturbance.,DISTURBANCE
568,harassment: computer,illinois institute of technology: mies campus: other: off campus location,1/28/2016 3:50,NA,iitpsd took a report of a general public member that was a victim of harassment by an iit student.,DISTURBANCE
569,injured/sick person: emergency medical transport/ambulance: student,illinois institute of technology: mies campus: academic/administrative buildings: alumni hall – 3201 s dearborn,1/28/2016 5:45,NA,iitpsd responded to alumni hall for a student who had fainted.,MEDICAL INCIDENT
570,injured/sick person: non-emergency medical transport,illinois institute of technology: mies campus: academic/administrative buildings: tower – 10 w 35th,1/28/2016 6:00,NA,iitpsd responded to iit tower for a non-emergency medical transport to mercy hospital of an iit student.,MEDICAL INCIDENT
571,injured/sick person: non-emergency medical transport: student,illinois institute of technology: mies campus: academic/administrative buildings: tower – 10 w 35th,1/28/2016 6:30,NA,iitpsd responded to the iit tower for a non-emergency medical transport of an iit student to mercy hospital.,MEDICAL INCIDENT
572,administrative information,illinois institute of technology: kent campus – 565 w adams,1/28/2016 7:05,NA,iit psd observed that the front panel of the pnc bank atm machine was out of place at kent college of law   thank you,OTHER
573,ijured/sick person: non-emergency medical transport: student,illinois institute of technology: mies campus: general parking locations: a4 lot – 3200 s state,1/27/2016 1:00,NA,iitpsd responded to the a4 parking lot for an injured student.,MEDICAL INCIDENT
574,injured/sick person: non-emergency medical transport: student,illinois institute of technology: mies campus: academic/administrative buildings: tower – 10 w 35th,1/27/2016 4:30,NA,iitpsd conducted a non-emergency medical transport for an iit student. thank you,MEDICAL INCIDENT
575,robbery: firearm,illinois institute of technology: mies campus: street locations: 31st street: east: 1-45 state to wabash,1/26/2016 5:45,NA,iitpsd responded to an armed robbery involving an iit student. iitpsd successfully captured the primary offender. the offender was turned over to the chicago police.,ROBBERY
576,utility incident: elevator: entrapment,illinois institute of technology: mies campus: academic/administrative buildings: stuart building – 10 w 31st,1/26/2016 8:25,NA,iitpsd responded to the stuart building for an elevator entrapment involving an iit student.,UTILITY INCIDENT
577,trespassing: bar notice,illinois institute of technology: mies campus: academic/administrative buildings: engineering 1 – 10 w 32nd,1/26/2016 8:40,NA,iitpsd detained a general public member in the e1 building for trespassing. the offender was issued a bar notice. thank you,TRESPASS
578,injured/sick person,illinois institute of technology,1/25/2016 7:45,NA,iitpsd responded to mccormick student village for a non-emergency medical transport to mercy hospital for a iit student,MEDICAL INCIDENT
579,harassment: computer,illinois institute of technology: mies campus:  residential buildings: fraternity/sorority:  kappa – 3330 s michigan,1/25/2016 2:20,NA,iitpsd took a harassment report involving a current iit student and former iit student.,DISTURBANCE
580,disturbance,illinois institute of technology: mies campus: street locations: state,1/25/2016 7:45,NA,iitpsd responded to a report of an iit student being chased by an unknown general public member.,DISTURBANCE
581,harassment : computer,illinois institute of technology : mies campus : residential buildings : fraternity/sorority : kappa – 3330 s michigan,1/22/2016 11:45,NA,iitpsd responded to the kappa phi delta sorority for a report of harassment.,DISTURBANCE
582,larceny/theft,illinois institute of technology : mies campus : academic/administrative buildings : mccormick tribune campus center – 3201 s state,1/22/2016 5:50,NA,a iit student came to farr hall to report that her property was stolen from mtcc.,THEFT
583,alarm : smoke,illinois institute of technology : mies campus : residential buildings : mccormick student village – 3241 s wabash : msv – graduate,1/22/2016 6:33,NA,iitpsd responded to msv graduate hall for an activated fire alarm.,ALARM
584,disturbance,illinois institute of technology : mies campus : residential buildings : gunsaulus hall – 3140 s michigan,1/22/2016 11:05,NA,iitpsd responded to gunsaulus for a disturbance on the 1st floor between four males.,DISTURBANCE
585,trespassing : bar notice,illinois institute of technology : mies campus : academic/administrative buildings : hermann hall – 3241 s federal,1/23/2016 10:00,NA,iitpsd responded to a suspicious person at the bog.,SUSPICION
586,alarm : smoke,illinois institute of technology : mies campus : academic/administrative buildings : galvin library – 35 w 33rd,1/24/2016 6:55,NA,iitpsd responded to galvin library for a fire alarm.  thank you,ALARM
587,injured/sick person : emergency medical transport/ambulance : general public/visitor,illinois institute of technology : mies campus : keating sports center ,1/21/2016 1:05,NA,iitpsd took a report for an injured visitor at keating gym.,MEDICAL INCIDENT
588,alarm : smoke,illinois institute of technology : mies campus : mccormick student village ,1/21/2016 10:41,NA,iitpsd responded to msv for an active fire alarm. the cause was found to be burnt food. no flame.   thank you,ALARM
589,robbery : strong-arm hand/fists/feet,illinois institute of technology : mies campus ,1/20/2016 10:20,NA,iitpsd responded to life sciences for a report of a strong-arm robbery that occurred on state st. between 30th and 31st st. victim and offender were both members of the general public and the chicago police department was notified.,ROBBERY
590,larceny/theft : other,illinois institute of technology : mies campus: keating sports center ,1/20/2016 2:25,NA,iitpsd responded to keating gym for a report of a theft.,THEFT
591,accident : motor vehicle,illinois institute of technology : mies campus ,1/20/2016 3:15,NA,iitpsd responded to a minor motor vehicle accident involving an iit student.,ACCIDENT
592,administrative information,illinois institute of technology : kent campus ,1/20/2016 4:00,NA,iit psd received a report that an iit student was exhibiting signs of unusual behavior at kent college of law.   thank you,DISTURBANCE
593,injured/sick person : report only,illinois institute of technology : moffett campus ,1/19/2016 9:45,NA,iitpsd responded to a report of an injured abm employee.,MEDICAL INCIDENT
594,weapon law violation,illinois institute of technology : mies campus: gunsaulus hall ,1/19/2016 9:15,NA,iitpsd responded to gunsaulus hall for a narcotic offense report. iitpsd also reported a weapon law violation.,NARCOTICS
595,drug/narcotic offense,illinois institute of technology : mies campus: gunsaulus hall ,1/19/2016 9:15,NA,iitpsd responded to gunsaulus hall for a narcotic offense report. iitpsd also reported a weapon law violation.   thank you,NARCOTICS
596,injured/sick person : emergency medical transport/ambulance : general public/visitor,illinois institute of technology : mies campus : keating sports center ,1/18/2016 3:25,NA,iitpsd responded to keating gym for an injured visitor report.   thank you,MEDICAL INCIDENT
597,alarm : fire,illinois institute of technology : mies campus : mccormick tribune campus center ,1/15/2016 9:15,NA,iitpsd responded to a report of a small fire in the mtcc pritzker club kitchen. no flames or smoke were observed upon arrival.,ALARM
598,larceny/theft : other,illinois institute of technology : mies campus : crown hall ,1/15/2016 4:45,NA,two iit students reported they had items stolen from them at crown hall.   thank you,THEFT
599,administrative information,illinois institute of technology : kent campus ,1/13/2016 2:50,NA,iit psd received a report of suspicious persons near kent college of law.   thank you,SUSPICION
600,damage to property,illinois institute of technology,1/11/2016 10:15,NA,iitpds responded to the d-5 parking lot located at 3451 s. state street for a damage to vehicle report   thank you,DAMAGE TO PROPERTY
601,alarm : smoke,illinois institute of technology : mies campus : mccormick student village ,1/9/2016 10:14,NA,"iitpsd responded to msv for a smoke alarm, graduate hall first floor.",ALARM
602,utility incident : water,illinois institute of technology : mies campus: technology park ,1/10/2016 4:06,NA,iitpsd responded to tech-park lsr gun room for a utility incident.   thank you,UTILITY INCIDENT
